,timestamp,datetime,symbol,id,order,type,takerOrMaker,side,price,cost,amount,fee,time_exchange,size
91294942,1550434208612,,BTC/USDT,,,,,sell,3621.55,167.5401461,,,2019-02-17 20:10:08.612,0.046262
91294943,1550434208612,,BTC/USDT,,,,,sell,3621.53,2573.29624915,,,2019-02-17 20:10:08.612,0.710555
91294944,1550434209702,,BTC/USDT,,,,,sell,3621.54,239.92702500000001,,,2019-02-17 20:10:09.702,0.06625
91294945,1550434209702,,BTC/USDT,,,,,sell,3621.53,1048.23375085,,,2019-02-17 20:10:09.702,0.289445
91294946,1550434209702,,BTC/USDT,,,,,sell,3621.46,777.43330404,,,2019-02-17 20:10:09.702,0.214674
91294947,1550434209914,,BTC/USDT,,,,,buy,3622.58,63.818991860000004,,,2019-02-17 20:10:09.914,0.017617
91294948,1550434209914,,BTC/USDT,,,,,buy,3622.6,22.0000498,,,2019-02-17 20:10:09.914,0.006073
91294949,1550434209989,,BTC/USDT,,,,,buy,3622.57,64.81502244,,,2019-02-17 20:10:09.989,0.017892
91294950,1550434210107,,BTC/USDT,,,,,buy,3622.55,22.00699125,,,2019-02-17 20:10:10.107,0.006075
91294951,1550434210107,,BTC/USDT,,,,,buy,3622.57,407.539125,,,2019-02-17 20:10:10.107,0.1125
91294952,1550434211789,,BTC/USDT,,,,,sell,3621.56,21.94303204,,,2019-02-17 20:10:11.789,0.006059
91294953,1550434211911,,BTC/USDT,,,,,sell,3621.56,32.27172116,,,2019-02-17 20:10:11.911,0.008911
91294954,1550434212212,,BTC/USDT,,,,,sell,3621.56,31.49670732,,,2019-02-17 20:10:12.212,0.008697
91294955,1550434212426,,BTC/USDT,,,,,sell,3621.54,22.71792042,,,2019-02-17 20:10:12.426,0.006273
91294956,1550434214109,,BTC/USDT,,,,,sell,3621.61,54.215501700000004,,,2019-02-17 20:10:14.109,0.01497
91294957,1550434214316,,BTC/USDT,,,,,sell,3621.61,54.21188009,,,2019-02-17 20:10:14.316,0.014969
91294958,1550434214523,,BTC/USDT,,,,,sell,3621.61,21.94333499,,,2019-02-17 20:10:14.523,0.006059
91294959,1550434214702,,BTC/USDT,,,,,sell,3621.61,86.96209932,,,2019-02-17 20:10:14.702,0.024012
91294960,1550434216635,,BTC/USDT,,,,,sell,3621.83,186.7777731,,,2019-02-17 20:10:16.635,0.05157
91294961,1550434217163,,BTC/USDT,,,,,sell,3621.85,264.99989895,,,2019-02-17 20:10:17.163,0.073167
91294962,1550434217251,,BTC/USDT,,,,,sell,3621.85,61.70183659999999,,,2019-02-17 20:10:17.251,0.017036
91294963,1550434218190,,BTC/USDT,,,,,sell,3621.85,0.10503364999999999,,,2019-02-17 20:10:18.190,2.9e-05
91294964,1550434218190,,BTC/USDT,,,,,sell,3621.83,0.03984013,,,2019-02-17 20:10:18.190,1.1e-05
91294965,1550434218190,,BTC/USDT,,,,,sell,3621.56,11.12905388,,,2019-02-17 20:10:18.190,0.003073
91294966,1550434218310,,BTC/USDT,,,,,sell,3621.56,15.19606576,,,2019-02-17 20:10:18.310,0.004196
91294967,1550434219404,,BTC/USDT,,,,,buy,3622.55,33.0883717,,,2019-02-17 20:10:19.404,0.009134
91294968,1550434219959,,BTC/USDT,,,,,sell,3621.59,29.559417580000005,,,2019-02-17 20:10:19.959,0.008162
91294969,1550434220185,,BTC/USDT,,,,,sell,3621.57,775.3817585700001,,,2019-02-17 20:10:20.185,0.214101
91294970,1550434220280,,BTC/USDT,,,,,sell,3621.57,21.943092630000002,,,2019-02-17 20:10:20.280,0.006059
91294971,1550434220350,,BTC/USDT,,,,,buy,3622.53,80.41292094,,,2019-02-17 20:10:20.350,0.022198
91294972,1550434221129,,BTC/USDT,,,,,sell,3621.57,108.03867624000002,,,2019-02-17 20:10:21.129,0.029832
91294973,1550434221224,,BTC/USDT,,,,,sell,3621.58,20.911002919999998,,,2019-02-17 20:10:21.224,0.005774
91294974,1550434221329,,BTC/USDT,,,,,sell,3621.58,62.990140939999996,,,2019-02-17 20:10:21.329,0.017393
91294975,1550434222385,,BTC/USDT,,,,,sell,3621.59,55.50448834,,,2019-02-17 20:10:22.385,0.015326
91294976,1550434222487,,BTC/USDT,,,,,sell,3621.59,511.15845578,,,2019-02-17 20:10:22.487,0.141142
91294977,1550434226226,,BTC/USDT,,,,,buy,3622.61,85.14582544000001,,,2019-02-17 20:10:26.226,0.023504
91294978,1550434226522,,BTC/USDT,,,,,sell,3621.61,448.11629174,,,2019-02-17 20:10:26.522,0.123734
91294979,1550434226644,,BTC/USDT,,,,,buy,3622.58,219.16971257999998,,,2019-02-17 20:10:26.644,0.060501
91294980,1550434226751,,BTC/USDT,,,,,buy,3622.56,21.94909104,,,2019-02-17 20:10:26.751,0.006059
91294981,1550434226842,,BTC/USDT,,,,,sell,3621.56,213.60323036,,,2019-02-17 20:10:26.842,0.058981
91294982,1550434226856,,BTC/USDT,,,,,buy,3621.27,242.94738303,,,2019-02-17 20:10:26.856,0.067089
91294983,1550434226966,,BTC/USDT,,,,,buy,3621.27,593.6347910999999,,,2019-02-17 20:10:26.966,0.16393
91294984,1550434228151,,BTC/USDT,,,,,sell,3621.2,11.877536,,,2019-02-17 20:10:28.151,0.00328
91294985,1550434229997,,BTC/USDT,,,,,buy,3621.82,730.40881758,,,2019-02-17 20:10:29.997,0.201669
91294986,1550434234982,,BTC/USDT,,,,,buy,3622.29,1050.88428564,,,2019-02-17 20:10:34.982,0.290116
