time_exchange,symbol_id,price,size,bid1_price,bid1_size,ask1_price,ask1_size,bid2_price,bid2_size,ask2_price,ask2_size,bid3_price,bid3_size,ask3_price,ask3_size,bid4_price,bid4_size,ask4_price,ask4_size,bid5_price,bid5_size,ask5_price,ask5_size,bid6_price,bid6_size,ask6_price,ask6_size,bid7_price,bid7_size,ask7_price,ask7_size,bid8_price,bid8_size,ask8_price,ask8_size,bid9_price,bid9_size,ask9_price,ask9_size,bid10_price,bid10_size,ask10_price,ask10_size,bid11_price,bid11_size,ask11_price,ask11_size,bid12_price,bid12_size,ask12_price,ask12_size,bid13_price,bid13_size,ask13_price,ask13_size,bid14_price,bid14_size,ask14_price,ask14_size,bid15_price,bid15_size,ask15_price,ask15_size,bid16_price,bid16_size,ask16_price,ask16_size,bid17_price,bid17_size,ask17_price,ask17_size,bid18_price,bid18_size,ask18_price,ask18_size,bid19_price,bid19_size,ask19_price,ask19_size,bid20_price,bid20_size,ask20_price,ask20_size
2019-02-17 20:10:52.221,BINANCE_SPOT_BTC_USDT,3622.16000000,0.23826500,3621.65,0.013805,3622.56,0.017608,3621.63,0.153827,3622.58,0.051086,3621.61,0.064639,3622.6,0.48836,3621.4,0.06625,3622.62,1.8,3621.0,0.003,3622.63,0.033099,3620.69,0.577803,3622.64,0.003135,3620.67,0.5,3623.0,0.211151,3620.65,0.5,3623.07,0.26463,3620.58,0.006075,3623.27,4.875887,3620.56,0.75762,3623.32,0.027567,3620.54,5.05,3623.53,0.5,3620.37,0.329,3623.54,0.5,3619.54,0.068137,3624.31,1.0,3619.5,0.01818,3624.63,0.03309,3619.26,0.08848,3624.65,0.478337,3619.23,1.0,3624.87,0.959915,3618.86,0.5,3624.88,0.0035,3618.81,0.01,3625.1,1.830131,3618.52,1.903913,3625.11,1.5,3618.51,1.0,3625.13,8.563861
2019-02-17 20:10:54.304,BINANCE_SPOT_BTC_USDT,3622.16000000,0.23826500,3621.65,0.013805,3622.58,0.011515,3621.63,0.153827,3622.6,0.539446,3621.61,0.064639,3622.62,1.8,3621.4,0.06625,3622.63,0.033099,3621.0,0.003,3622.64,0.003135,3620.85,0.5,3623.0,0.211151,3620.65,0.5,3623.07,0.26463,3620.6,0.006075,3623.27,4.84822,3620.58,0.577796,3623.32,0.027567,3620.56,0.75762,3623.52,0.527403,3620.54,5.05,3623.53,0.5,3620.37,0.329,3624.31,1.0,3619.54,0.068137,3624.63,0.03309,3619.5,0.01818,3624.65,0.478337,3619.26,0.08848,3624.88,0.0035,3619.23,1.0,3625.1,1.830131,3618.86,0.5,3625.11,1.5,3618.81,0.01,3625.13,8.563861,3618.52,1.903913,3625.22,0.18637,3618.51,1.0,3625.25,0.109278
2019-02-17 20:10:56.226,BINANCE_SPOT_BTC_USDT,3622.58000000,0.00609300,3621.65,0.013805,3622.54,0.051086,3621.63,0.153827,3622.56,0.48836,3621.61,0.064639,3622.58,1.0,3621.4,0.06625,3622.63,0.033099,3621.0,0.003,3622.64,0.003135,3620.87,0.583871,3623.0,0.211151,3620.85,0.5,3623.05,0.011515,3620.72,0.757606,3623.07,0.26463,3620.7,1.0,3623.27,4.84822,3620.67,0.006101,3623.32,0.027567,3620.65,0.5,3623.52,0.5,3620.54,5.05,3623.53,1.0,3620.37,0.329,3624.31,1.0,3619.54,0.068137,3624.58,0.552268,3619.5,0.01818,3624.63,0.03309,3619.26,0.08848,3624.65,0.478337,3618.86,0.5,3624.87,0.959915,3618.81,0.01,3624.88,0.0035,3618.52,1.903913,3625.1,1.830131,3618.51,1.0,3625.11,1.5
2019-02-17 20:10:58.167,BINANCE_SPOT_BTC_USDT,3621.67000000,0.06683600,3621.65,0.013805,3622.58,0.051086,3621.61,0.064639,3622.6,0.48836,3621.4,0.06625,3622.62,1.0,3621.0,0.003,3622.63,0.033099,3620.98,0.5,3622.64,0.003135,3620.65,0.5,3623.0,0.211151,3620.6,0.006075,3623.05,0.011515,3620.58,0.583894,3623.07,0.26463,3620.56,0.757599,3623.27,4.84822,3620.54,5.05,3623.32,0.027567,3620.37,0.329,3623.51,0.5,3619.54,0.068137,3623.52,0.527454,3619.5,0.01818,3624.31,1.0,3619.26,0.08848,3624.58,0.552268,3619.04,1.0,3624.63,0.03309,3618.86,0.5,3624.65,0.478337,3618.81,0.01,3624.88,0.0035,3618.52,1.903913,3625.09,0.959915,3618.51,1.0,3625.1,1.830131,3618.43,0.552269,3625.11,1.5
2019-02-17 20:11:00.150,BINANCE_SPOT_BTC_USDT,3622.55000000,0.12012700,3621.65,0.013805,3622.55,0.368233,3621.61,0.064639,3622.57,1.0,3621.4,0.06625,3622.63,0.033099,3621.0,0.003,3622.64,0.003135,3620.98,0.5,3623.0,0.211151,3620.65,0.5,3623.05,0.011515,3620.58,0.641058,3623.07,0.26463,3620.56,0.877733,3623.27,4.84822,3620.54,5.05,3623.32,0.055086,3620.37,0.329,3623.51,0.5,3619.54,0.068137,3623.52,0.5,3619.5,0.01818,3624.31,1.0,3619.26,0.08848,3624.58,0.552268,3619.04,1.0,3624.63,0.03309,3618.86,0.5,3624.65,0.478337,3618.81,0.01,3624.88,0.0035,3618.52,1.903913,3625.09,0.959915,3618.51,1.0,3625.1,1.830131,3618.43,0.552269,3625.11,1.5,3618.41,0.3,3625.13,8.563861
2019-02-17 20:11:02.114,BINANCE_SPOT_BTC_USDT,3622.63000000,0.01477400,3621.71,0.066238,3623.28,0.221042,3621.7,0.017616,3623.32,0.027567,3621.68,8.8,3623.51,1.0,3621.67,5.135527,3624.31,1.0,3621.65,0.013805,3624.58,4.200488,3621.64,0.232506,3624.63,0.03309,3621.61,0.064639,3624.65,0.478337,3621.0,0.432641,3625.1,1.830131,3620.98,0.5,3625.11,1.5,3620.9,0.5,3625.13,9.523776,3620.58,0.051087,3625.22,0.18637,3620.56,0.877733,3625.25,0.109278,3620.54,0.027623,3625.64,0.345134,3620.37,0.329,3626.0,0.018606,3619.54,0.068137,3626.48,0.3,3619.5,0.01818,3626.49,0.5,3619.26,0.08848,3626.5,0.09996,3619.04,1.0,3626.65,1.0,3618.86,0.5,3626.8,0.03308,3618.81,0.01,3626.81,0.17082
2019-02-17 20:11:04.323,BINANCE_SPOT_BTC_USDT,3622.12000000,0.06603500,3622.12,0.000202,3623.32,0.027567,3621.72,0.222915,3623.51,1.0,3621.7,0.429638,3623.54,0.5,3621.68,8.7,3624.31,1.0,3621.67,5.190751,3624.58,3.64822,3621.65,0.013805,3624.63,0.03309,3621.61,0.064639,3624.65,0.478337,3621.29,0.5,3625.11,1.5,3621.0,0.003,3625.13,8.563861,3620.98,0.5,3625.14,0.55227,3620.9,0.5,3625.22,0.18637,3620.73,1.0,3625.25,0.109278,3620.56,0.877733,3625.63,1.991004,3620.37,0.329,3625.64,0.345134,3619.54,0.068137,3626.0,0.018606,3619.5,0.01818,3626.25,0.132432,3619.26,0.08848,3626.48,0.3,3618.87,0.3,3626.49,0.5,3618.86,0.5,3626.5,0.09996,3618.81,0.01,3626.79,0.959915
2019-02-17 20:11:06.622,BINANCE_SPOT_BTC_USDT,3622.98000000,0.05460700,3622.02,0.066237,3623.3,0.006074,3622.01,0.114764,3623.32,0.027567,3621.85,0.235289,3623.49,0.009049,3621.74,0.042033,3623.51,1.0,3621.72,0.138355,3624.08,0.04,3621.7,0.429638,3624.31,1.0,3621.68,8.7,3624.56,0.027397,3621.67,5.105224,3624.58,3.64822,3621.65,0.013805,3624.63,0.03309,3621.61,0.064639,3624.65,0.478337,3621.29,1.5,3625.11,1.5,3621.0,0.003,3625.13,8.563861,3620.9,0.5,3625.22,0.18637,3620.56,0.877733,3625.25,0.109278,3620.37,0.329,3625.63,1.991004,3620.33,0.5,3625.64,0.345134,3619.97,0.540991,3626.0,0.018606,3619.54,0.068137,3626.25,0.132432,3619.5,0.01818,3626.34,0.020298,3619.26,0.08848,3626.48,0.3
2019-02-17 20:11:16.693,BINANCE_SPOT_BTC_USDT,3623.30000000,0.02609000,3622.34,0.017613,3623.3,0.007008,3622.32,1.796029,3623.31,0.036108,3622.3,4.7,3623.32,0.027567,3622.25,0.032771,3624.29,0.084545,3622.22,0.066237,3624.31,1.0,3622.07,0.235102,3624.58,3.64822,3621.68,8.7,3624.63,0.03309,3621.67,5.105224,3625.11,1.5,3621.65,0.013805,3625.13,8.563861,3621.61,0.092009,3625.16,0.5,3621.25,0.5,3625.25,0.109278,3621.0,0.003,3626.0,0.018606,3620.9,0.5,3626.25,0.132432,3620.64,1.0,3626.32,0.959915,3620.37,0.329,3626.33,1.879382,3620.33,0.5,3626.48,0.3,3619.97,0.540991,3626.49,0.5,3619.55,0.223666,3626.5,0.09996,3619.54,0.068137,3626.8,0.03308,3619.5,0.01818,3626.81,0.17082
2019-02-17 20:11:18.975,BINANCE_SPOT_BTC_USDT,3622.34000000,0.01588800,3622.36,0.120728,3623.3,0.007008,3622.34,0.097596,3623.31,0.036108,3622.32,1.6753,3623.32,0.027567,3622.3,4.7,3624.29,0.100433,3622.25,0.032771,3624.31,1.0,3622.22,0.066237,3624.58,3.64822,3622.07,0.262808,3624.63,0.03309,3621.68,8.7,3625.11,1.5,3621.67,5.105224,3625.13,8.563861,3621.65,0.013805,3625.16,0.5,3621.61,0.064639,3625.25,0.109278,3621.25,0.5,3625.5,0.5,3621.16,1.0,3626.0,0.018606,3621.0,0.003,3626.25,0.132432,3620.9,0.5,3626.33,1.879382,3620.37,0.329,3626.48,0.3,3620.33,0.5,3626.49,0.5,3619.97,0.540991,3626.5,0.09996,3619.55,0.223666,3626.79,0.959915,3619.54,0.068137,3626.8,0.03308
